sim,sourceX,sourceY,targetX,targetY
0.3,2000-2002,Topic-Emer-0,2003-2005,Topic-Emer-1
0.3,2000-2002,Topic-Emer-0,2003-2005,Topic-Emer-2
0.3,2012-2014,Topic-Emer-0,2015-2017,Topic-Emer-2
0.3,2000-2002,Topic-Emer-0,2003-2005,Topic-Emer-4
0.3,2012-2014,Topic-Emer-0,2015-2017,Topic-Emer-4
0.3,2003-2005,Topic-Emer-0,2006-2008,Topic-Emer-4
0.3,2006-2008,Topic-Emer-0,2009-2011,Topic-Front-4
0.3,2003-2005,Topic-Emer-0,2006-2008,Topic-Trans-2
0.3,2009-2011,Topic-Emer-0,2012-2014,Topic-Trans-3
0.3,2012-2014,Topic-Emer-1,2015-2017,Topic-Emer-2
0.3,2009-2011,Topic-Emer-1,2012-2014,Topic-Emer-3
0.3,2003-2005,Topic-Emer-1,2006-2008,Topic-Emer-4
0.3,2009-2011,Topic-Emer-1,2012-2014,Topic-Front-2
0.3,2003-2005,Topic-Emer-1,2006-2008,Topic-Trans-3
0.3,2006-2008,Topic-Emer-2,2009-2011,Topic-Emer-0
0.3,2012-2014,Topic-Emer-2,2015-2017,Topic-Emer-1
0.3,2009-2011,Topic-Emer-2,2012-2014,Topic-Emer-4
0.3,2003-2005,Topic-Emer-2,2006-2008,Topic-Front-2
0.3,2006-2008,Topic-Emer-2,2009-2011,Topic-Front-4
0.3,2003-2005,Topic-Emer-2,2006-2008,Topic-Trans-1
0.3,2003-2005,Topic-Emer-2,2006-2008,Topic-Trans-3
0.3,2006-2008,Topic-Emer-2,2009-2011,Topic-Trans-3
0.3,2003-2005,Topic-Emer-3,2006-2008,Topic-Emer-0
0.3,2000-2002,Topic-Emer-3,2003-2005,Topic-Emer-2
0.3,2012-2014,Topic-Emer-3,2015-2017,Topic-Emer-2
0.3,2000-2002,Topic-Emer-3,2003-2005,Topic-Emer-4
0.3,2012-2014,Topic-Emer-3,2015-2017,Topic-Emer-4
0.3,2009-2011,Topic-Emer-3,2012-2014,Topic-Front-2
0.3,2012-2014,Topic-Emer-3,2015-2017,Topic-Front-3
0.3,2000-2002,Topic-Emer-3,2003-2005,Topic-Trans-1
0.3,2012-2014,Topic-Emer-3,2015-2017,Topic-Trans-2
0.3,2009-2011,Topic-Emer-3,2012-2014,Topic-Trans-2
0.3,2012-2014,Topic-Emer-3,2015-2017,Topic-Trans-4
0.3,2006-2008,Topic-Emer-4,2009-2011,Topic-Front-4
0.3,2006-2008,Topic-Emer-4,2009-2011,Topic-Trans-3
0.3,2003-2005,Topic-Emer-4,2006-2008,Topic-Trans-3
0.3,2006-2008,Topic-Emer-4,2009-2011,Topic-Trans-4
0.3,2009-2011,Topic-Front-0,2012-2014,Topic-Emer-3
0.3,2009-2011,Topic-Front-0,2012-2014,Topic-Front-2
0.3,2006-2008,Topic-Front-0,2009-2011,Topic-Front-2
0.3,2006-2008,Topic-Front-0,2009-2011,Topic-Front-3
0.3,2009-2011,Topic-Front-2,2012-2014,Topic-Emer-3
0.3,2012-2014,Topic-Front-2,2015-2017,Topic-Front-1
0.3,2006-2008,Topic-Front-2,2009-2011,Topic-Front-1
0.3,2006-2008,Topic-Front-2,2009-2011,Topic-Front-3
0.3,2006-2008,Topic-Front-2,2009-2011,Topic-Front-4
0.3,2012-2014,Topic-Front-2,2015-2017,Topic-Front-4
0.3,2006-2008,Topic-Front-3,2009-2011,Topic-Emer-3
0.3,2009-2011,Topic-Front-4,2012-2014,Topic-Front-0
0.3,2006-2008,Topic-Front-4,2009-2011,Topic-Front-1
0.3,2012-2014,Topic-Front-4,2015-2017,Topic-Front-3
0.3,2003-2005,Topic-Trans-0,2006-2008,Topic-Emer-2
0.3,2003-2005,Topic-Trans-0,2006-2008,Topic-Trans-2
0.3,2006-2008,Topic-Trans-0,2009-2011,Topic-Trans-3
0.3,2000-2002,Topic-Trans-1,2003-2005,Topic-Emer-0
0.3,2003-2005,Topic-Trans-1,2006-2008,Topic-Front-2
0.3,2000-2002,Topic-Trans-1,2003-2005,Topic-Trans-4
0.3,2006-2008,Topic-Trans-2,2009-2011,Topic-Emer-0
0.3,2012-2014,Topic-Trans-2,2015-2017,Topic-Emer-1
0.3,2006-2008,Topic-Trans-2,2009-2011,Topic-Emer-3
0.3,2012-2014,Topic-Trans-2,2015-2017,Topic-Trans-0
0.3,2000-2002,Topic-Trans-2,2003-2005,Topic-Trans-3
0.3,2012-2014,Topic-Trans-2,2015-2017,Topic-Trans-4
0.3,2003-2005,Topic-Trans-3,2006-2008,Topic-Emer-1
0.3,2012-2014,Topic-Trans-3,2015-2017,Topic-Emer-1
0.3,2009-2011,Topic-Trans-3,2012-2014,Topic-Emer-3
0.3,2003-2005,Topic-Trans-3,2006-2008,Topic-Emer-4
0.3,2012-2014,Topic-Trans-3,2015-2017,Topic-Front-3
0.3,2003-2005,Topic-Trans-3,2006-2008,Topic-Trans-0
0.3,2000-2002,Topic-Trans-3,2003-2005,Topic-Trans-4
0.3,2000-2002,Topic-Trans-4,2003-2005,Topic-Emer-1
0.3,2000-2002,Topic-Trans-4,2003-2005,Topic-Trans-0
0.3,2003-2005,Topic-Trans-4,2006-2008,Topic-Trans-1
0.35,2006-2008,Topic-Emer-0,2009-2011,Topic-Emer-3
0.35,2000-2002,Topic-Emer-0,2003-2005,Topic-Trans-0
0.35,2003-2005,Topic-Emer-0,2006-2008,Topic-Trans-1
0.35,2006-2008,Topic-Emer-1,2009-2011,Topic-Trans-3
0.35,2003-2005,Topic-Emer-2,2006-2008,Topic-Emer-1
0.35,2012-2014,Topic-Emer-3,2015-2017,Topic-Front-4
0.35,2003-2005,Topic-Emer-3,2006-2008,Topic-Trans-3
0.35,2003-2005,Topic-Emer-4,2006-2008,Topic-Emer-2
0.35,2006-2008,Topic-Front-0,2009-2011,Topic-Front-1
0.35,2009-2011,Topic-Front-1,2012-2014,Topic-Front-2
0.35,2009-2011,Topic-Front-3,2012-2014,Topic-Front-0
0.35,2009-2011,Topic-Front-3,2012-2014,Topic-Front-4
0.35,2009-2011,Topic-Front-4,2012-2014,Topic-Emer-3
0.35,2009-2011,Topic-Front-4,2012-2014,Topic-Front-1
0.35,2003-2005,Topic-Trans-0,2006-2008,Topic-Emer-1
0.35,2003-2005,Topic-Trans-0,2006-2008,Topic-Emer-4
0.35,2000-2002,Topic-Trans-0,2003-2005,Topic-Trans-2
0.35,2000-2002,Topic-Trans-0,2003-2005,Topic-Trans-3
0.35,2003-2005,Topic-Trans-1,2006-2008,Topic-Trans-3
0.35,2006-2008,Topic-Trans-2,2009-2011,Topic-Trans-3
0.35,2000-2002,Topic-Trans-3,2003-2005,Topic-Trans-1
0.35,2003-2005,Topic-Trans-3,2006-2008,Topic-Trans-2
0.35,2003-2005,Topic-Trans-4,2006-2008,Topic-Emer-2
0.35,2009-2011,Topic-Trans-4,2012-2014,Topic-Trans-0
0.35,2000-2002,Topic-Trans-4,2003-2005,Topic-Trans-3
0.4,2003-2005,Topic-Emer-0,2006-2008,Topic-Emer-2
0.4,2009-2011,Topic-Emer-0,2012-2014,Topic-Emer-3
0.4,2003-2005,Topic-Emer-0,2006-2008,Topic-Trans-3
0.4,2003-2005,Topic-Emer-1,2006-2008,Topic-Emer-2
0.4,2003-2005,Topic-Emer-2,2006-2008,Topic-Emer-0
0.4,2006-2008,Topic-Emer-2,2009-2011,Topic-Trans-4
0.4,2003-2005,Topic-Emer-3,2006-2008,Topic-Emer-2
0.4,2009-2011,Topic-Front-1,2012-2014,Topic-Emer-3
0.4,2006-2008,Topic-Front-1,2009-2011,Topic-Front-0
0.4,2012-2014,Topic-Front-2,2015-2017,Topic-Front-0
0.4,2009-2011,Topic-Front-2,2012-2014,Topic-Front-1
0.4,2006-2008,Topic-Front-3,2009-2011,Topic-Front-4
0.4,2000-2002,Topic-Trans-0,2003-2005,Topic-Trans-1
0.4,2006-2008,Topic-Trans-1,2009-2011,Topic-Trans-4
0.4,2000-2002,Topic-Trans-2,2003-2005,Topic-Trans-0
0.4,2006-2008,Topic-Trans-2,2009-2011,Topic-Trans-4
0.4,2000-2002,Topic-Trans-3,2003-2005,Topic-Trans-0
0.4,2009-2011,Topic-Trans-3,2012-2014,Topic-Trans-1
0.4,2012-2014,Topic-Trans-3,2015-2017,Topic-Trans-4
0.45,2003-2005,Topic-Emer-0,2006-2008,Topic-Emer-1
0.45,2006-2008,Topic-Emer-1,2009-2011,Topic-Emer-3
0.45,2009-2011,Topic-Emer-3,2012-2014,Topic-Front-0
0.45,2000-2002,Topic-Emer-3,2003-2005,Topic-Trans-0
0.45,2009-2011,Topic-Emer-3,2012-2014,Topic-Trans-3
0.45,2000-2002,Topic-Emer-3,2003-2005,Topic-Trans-3
0.45,2006-2008,Topic-Emer-4,2009-2011,Topic-Emer-3
0.45,2006-2008,Topic-Front-4,2009-2011,Topic-Front-0
0.45,2012-2014,Topic-Trans-0,2015-2017,Topic-Trans-2
0.45,2003-2005,Topic-Trans-0,2006-2008,Topic-Trans-3
0.45,2000-2002,Topic-Trans-1,2003-2005,Topic-Trans-0
0.45,2006-2008,Topic-Trans-1,2009-2011,Topic-Trans-3
0.45,2006-2008,Topic-Trans-3,2009-2011,Topic-Trans-4
0.45,2009-2011,Topic-Trans-4,2012-2014,Topic-Trans-2
0.45,2003-2005,Topic-Trans-4,2006-2008,Topic-Trans-3
0.5,2006-2008,Topic-Emer-2,2009-2011,Topic-Emer-3
0.5,2012-2014,Topic-Front-0,2015-2017,Topic-Front-1
0.5,2012-2014,Topic-Front-0,2015-2017,Topic-Front-3
0.5,2009-2011,Topic-Front-1,2012-2014,Topic-Front-0
0.5,2006-2008,Topic-Front-3,2009-2011,Topic-Front-0
0.5,2009-2011,Topic-Front-3,2012-2014,Topic-Front-1
0.5,2003-2005,Topic-Trans-0,2006-2008,Topic-Trans-1
0.5,2000-2002,Topic-Trans-1,2003-2005,Topic-Trans-3
0.5,2006-2008,Topic-Trans-3,2009-2011,Topic-Emer-3
0.5,2009-2011,Topic-Trans-3,2012-2014,Topic-Trans-0
0.5,2003-2005,Topic-Trans-3,2006-2008,Topic-Trans-1
0.55,2006-2008,Topic-Front-3,2009-2011,Topic-Front-1
0.55,2009-2011,Topic-Trans-4,2012-2014,Topic-Trans-3
0.65,2009-2011,Topic-Trans-3,2012-2014,Topic-Trans-2
0.75,2012-2014,Topic-Emer-3,2015-2017,Topic-Emer-1
0.75,2012-2014,Topic-Trans-3,2015-2017,Topic-Trans-2
1,2003-2005,Topic-Emer-0,2006-2008,Topic-Emer-0
1,2006-2008,Topic-Emer-0,2009-2011,Topic-Emer-0
1,2000-2002,Topic-Emer-0,2003-2005,Topic-Emer-0
1,2009-2011,Topic-Emer-0,2012-2014,Topic-Emer-0
1,2012-2014,Topic-Emer-0,2015-2017,Topic-Emer-0
1,2009-2011,Topic-Emer-1,2012-2014,Topic-Emer-1
1,2012-2014,Topic-Emer-1,2015-2017,Topic-Emer-1
1,2000-2002,Topic-Emer-1,2003-2005,Topic-Emer-1
1,2006-2008,Topic-Emer-1,2009-2011,Topic-Emer-1
1,2003-2005,Topic-Emer-1,2006-2008,Topic-Emer-1
1,2000-2002,Topic-Emer-2,2003-2005,Topic-Emer-2
1,2012-2014,Topic-Emer-2,2015-2017,Topic-Emer-2
1,2009-2011,Topic-Emer-2,2012-2014,Topic-Emer-2
1,2006-2008,Topic-Emer-2,2009-2011,Topic-Emer-2
1,2003-2005,Topic-Emer-2,2006-2008,Topic-Emer-2
1,2012-2014,Topic-Emer-3,2015-2017,Topic-Emer-3
1,2000-2002,Topic-Emer-3,2003-2005,Topic-Emer-3
1,2003-2005,Topic-Emer-3,2006-2008,Topic-Emer-3
1,2006-2008,Topic-Emer-3,2009-2011,Topic-Emer-3
1,2009-2011,Topic-Emer-3,2012-2014,Topic-Emer-3
1,2012-2014,Topic-Emer-4,2015-2017,Topic-Emer-4
1,2000-2002,Topic-Emer-4,2003-2005,Topic-Emer-4
1,2006-2008,Topic-Emer-4,2009-2011,Topic-Emer-4
1,2009-2011,Topic-Emer-4,2012-2014,Topic-Emer-4
1,2003-2005,Topic-Emer-4,2006-2008,Topic-Emer-4
1,2000-2002,Topic-Front-0,2003-2005,Topic-Front-0
1,2003-2005,Topic-Front-0,2006-2008,Topic-Front-0
1,2006-2008,Topic-Front-0,2009-2011,Topic-Front-0
1,2012-2014,Topic-Front-0,2015-2017,Topic-Front-0
1,2009-2011,Topic-Front-0,2012-2014,Topic-Front-0
1,2000-2002,Topic-Front-1,2003-2005,Topic-Front-1
1,2003-2005,Topic-Front-1,2006-2008,Topic-Front-1
1,2006-2008,Topic-Front-1,2009-2011,Topic-Front-1
1,2009-2011,Topic-Front-1,2012-2014,Topic-Front-1
1,2012-2014,Topic-Front-1,2015-2017,Topic-Front-1
1,2000-2002,Topic-Front-2,2003-2005,Topic-Front-2
1,2003-2005,Topic-Front-2,2006-2008,Topic-Front-2
1,2006-2008,Topic-Front-2,2009-2011,Topic-Front-2
1,2009-2011,Topic-Front-2,2012-2014,Topic-Front-2
1,2012-2014,Topic-Front-2,2015-2017,Topic-Front-2
1,2000-2002,Topic-Front-3,2003-2005,Topic-Front-3
1,2009-2011,Topic-Front-3,2012-2014,Topic-Front-3
1,2003-2005,Topic-Front-3,2006-2008,Topic-Front-3
1,2006-2008,Topic-Front-3,2009-2011,Topic-Front-3
1,2012-2014,Topic-Front-3,2015-2017,Topic-Front-3
1,2000-2002,Topic-Front-4,2003-2005,Topic-Front-4
1,2012-2014,Topic-Front-4,2015-2017,Topic-Front-4
1,2003-2005,Topic-Front-4,2006-2008,Topic-Front-4
1,2006-2008,Topic-Front-4,2009-2011,Topic-Front-4
1,2009-2011,Topic-Front-4,2012-2014,Topic-Front-4
1,2009-2011,Topic-Trans-0,2012-2014,Topic-Trans-0
1,2006-2008,Topic-Trans-0,2009-2011,Topic-Trans-0
1,2012-2014,Topic-Trans-0,2015-2017,Topic-Trans-0
1,2003-2005,Topic-Trans-0,2006-2008,Topic-Trans-0
1,2000-2002,Topic-Trans-0,2003-2005,Topic-Trans-0
1,2009-2011,Topic-Trans-1,2012-2014,Topic-Trans-1
1,2012-2014,Topic-Trans-1,2015-2017,Topic-Trans-1
1,2000-2002,Topic-Trans-1,2003-2005,Topic-Trans-1
1,2006-2008,Topic-Trans-1,2009-2011,Topic-Trans-1
1,2003-2005,Topic-Trans-1,2006-2008,Topic-Trans-1
1,2000-2002,Topic-Trans-2,2003-2005,Topic-Trans-2
1,2009-2011,Topic-Trans-2,2012-2014,Topic-Trans-2
1,2006-2008,Topic-Trans-2,2009-2011,Topic-Trans-2
1,2003-2005,Topic-Trans-2,2006-2008,Topic-Trans-2
1,2012-2014,Topic-Trans-2,2015-2017,Topic-Trans-2
1,2012-2014,Topic-Trans-3,2015-2017,Topic-Trans-3
1,2000-2002,Topic-Trans-3,2003-2005,Topic-Trans-3
1,2006-2008,Topic-Trans-3,2009-2011,Topic-Trans-3
1,2003-2005,Topic-Trans-3,2006-2008,Topic-Trans-3
1,2009-2011,Topic-Trans-3,2012-2014,Topic-Trans-3
1,2009-2011,Topic-Trans-4,2012-2014,Topic-Trans-4
1,2006-2008,Topic-Trans-4,2009-2011,Topic-Trans-4
1,2012-2014,Topic-Trans-4,2015-2017,Topic-Trans-4
1,2003-2005,Topic-Trans-4,2006-2008,Topic-Trans-4
1,2000-2002,Topic-Trans-4,2003-2005,Topic-Trans-4
